Site ID,Condition,Plot number,Year,Month,Day,Run,Time,Precipitation (mm/hr),Precipitation (mm/min),Run-on,Runoff (mm/hr),Runoff (CMS),Sediment concentration,Sediment discharge,Velocity max,Velocity mean
ER2, N,1,2013,7,30,DRY,0,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,1,2013,7,30,DRY,6.33,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,1,2013,7,30,DRY,7,73.66,1.227666667,0,4.86,0.0000162,0.42,0.06,NA,NA
ER2, N,1,2013,7,30,DRY,9,73.66,1.227666667,0,8.35,0.000027833,0.54,0.15,NA,NA
ER2, N,1,2013,7,30,DRY,11,73.66,1.227666667,0,10.25,0.000034167,0.33,0.11,NA,NA
ER2, N,1,2013,7,30,DRY,15,73.66,1.227666667,0,13.68,0.0000456,0.4,0.18,NA,NA
ER2, N,1,2013,7,30,DRY,20,73.66,1.227666667,0,13.59,0.0000453,0.33,0.15,NA,NA
ER2, N,1,2013,7,30,DRY,25,73.66,1.227666667,0,13.59,0.0000453,0.26,0.12,NA,NA
ER2, N,1,2013,7,30,DRY,35,73.66,1.227666667,0,9.28,0.000030933,0.11,0.03,NA,NA
ER2, N,1,2013,7,30,DRY,40,73.66,1.227666667,0,9.44,0.000031467,0.28,0.08,NA,NA
ER2, N,1,2013,7,30,DRY,45,0,0,0,9.44,0.000031467,0.15,0.05,NA,NA
ER2, N,1,2013,7,30,DRY,45.67,0,0,0,3.9,0.000013,0.08,0.01,NA,NA
ER2, N,1,2013,7,30,DRY,46.33,0,0,0,0,0,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,0,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,4.58,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,6,73.66,1.227666667,0,5.91,0.0000197,0.38,0.07,NA,NA
ER2, N,1,2013,7,30,WET,8,73.66,1.227666667,0,14.25,0.0000475,0.23,0.11,NA,NA
ER2, N,1,2013,7,30,WET,9,73.66,1.227666667,0,15.32,0.000051067,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,10,73.66,1.227666667,0,16.62,0.0000554,0.2,0.11,0.083,0.014
ER2, N,1,2013,7,30,WET,13,73.66,1.227666667,0,16.62,0.0000554,0.15,0.08,NA,NA
ER2, N,1,2013,7,30,WET,14,73.66,1.227666667,0,17.76,0.0000592,0.16,0.1,NA,NA
ER2, N,1,2013,7,30,WET,17,93.72,1.562,0,19.59,0.0000653,0.15,0.09,NA,NA
ER2, N,1,2013,7,30,WET,19,93.72,1.562,0,42.59,0.000141967,0.22,0.32,NA,NA
ER2, N,1,2013,7,30,WET,21,93.72,1.562,0,49.83,0.0001661,0.18,0.3,NA,NA
ER2, N,1,2013,7,30,WET,22,93.72,1.562,0,53.21,0.000177367,0.16,0.29,NA,NA
ER2, N,1,2013,7,30,WET,23,93.72,1.562,0,53.21,0.000177367,0.33,0.59,0.071,0.018
ER2, N,1,2013,7,30,WET,25,93.72,1.562,0,53.21,0.000177367,0.16,0.3,NA,NA
ER2, N,1,2013,7,30,WET,30,118.61,1.976833333,0,53.21,0.000177367,0.09,0.16,NA,NA
ER2, N,1,2013,7,30,WET,32,118.61,1.976833333,0,72.35,0.000241167,0.13,0.33,NA,NA
ER2, N,1,2013,7,30,WET,34,118.61,1.976833333,0,72.94,0.000243133,0.12,0.31,NA,NA
ER2, N,1,2013,7,30,WET,35,118.61,1.976833333,0,72.94,0.000243133,0.11,0.29,NA,NA
ER2, N,1,2013,7,30,WET,36,118.61,1.976833333,0,72.94,0.000243133,NA,NA,0.066,0.022
ER2, N,1,2013,7,30,WET,38,118.61,1.976833333,0,72.94,0.000243133,0.13,0.32,NA,NA
ER2, N,1,2013,7,30,WET,42,153.41,2.556833333,0,72.94,0.000243133,0.08,0.21,NA,NA
ER2, N,1,2013,7,30,WET,44,153.41,2.556833333,0,102.61,0.000342033,0.16,0.58,NA,NA
ER2, N,1,2013,7,30,WET,46,153.41,2.556833333,0,108.89,0.000362967,0.13,0.49,NA,NA
ER2, N,1,2013,7,30,WET,47,153.41,2.556833333,0,108.89,0.000362967,0.11,0.41,NA,NA
ER2, N,1,2013,7,30,WET,48,153.41,2.556833333,0,108.89,0.000362967,0.12,0.44,0.084,0.031
ER2, N,1,2013,7,30,WET,50,153.41,2.556833333,0,108.89,0.000362967,0.13,0.51,NA,NA
ER2, N,1,2013,7,30,WET,52,167.38,2.789666667,0,108.89,0.000362967,0.13,0.49,NA,NA
ER2, N,1,2013,7,30,WET,54,167.38,2.789666667,0,124.94,0.000416467,0.13,0.55,NA,NA
ER2, N,1,2013,7,30,WET,56,167.38,2.789666667,0,124.94,0.000416467,0.07,0.3,NA,NA
ER2, N,1,2013,7,30,WET,58,167.38,2.789666667,0,124.94,0.000416467,0.1,0.46,NA,NA
ER2, N,1,2013,7,30,WET,59.5,167.38,2.789666667,0,124.94,0.000416467,0.09,0.42,0.091,0.034
ER2, N,1,2013,7,30,WET,61,167.38,2.789666667,0,124.94,0.000416467,0.11,0.49,NA,NA
ER2, N,1,2013,7,30,WET,63,0,0,0,124.94,0.000416467,0.09,0.4,NA,NA
ER2, N,1,2013,7,30,WET,63.5,0,0,0,84.35,0.000281167,0.08,0.24,NA,NA
ER2, N,1,2013,7,30,WET,64,0,0,0,35.71,0.000119033,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,64.5,0,0,0,13.5,0.000045,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,65,0,0,0,4.39,0.000014633,NA,NA,NA,NA
ER2, N,1,2013,7,30,WET,65.5,0,0,0,0,0,NA,NA,NA,NA
ER2, N,2,2013,7,30,DRY,0,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,2,2013,7,30,DRY,5,73.66,1.227666667,0,0,0,NA,NA,NA,NA
ER2, N,2,2013,7,30,DRY,7,73.66,1.227666667,0,4.62,0.0000154,0.82,0.12,NA,NA
ER2, N,2,2013,7,30,DRY,9,73.66,1.227666667,0,10.16,0.000033867,0.53,0.18,NA,NA
ER2, N,2,2013,7,30,DRY,11,73.66,1.227666667,0,13.22,0.000044067,0.45,0.2,NA,NA
ER2, N,2,2013,7,30,DRY,14,73.66,1.227666667,0,15.91,0.000053033,NA,NA,NA,NA
ER2, N,2,2013,7,30,DRY,15,73.66,1.227666667,0,16.52,0.000055067,NA,NA,NA,NA
ER2, N,2,2013,7,30,DRY,20,73.66,1.227666667,0,15.91,0.000053033,0.33,0.18,NA,NA
ER2, N,2,2013,7,30,DRY,25,73.66,1.227666667,0,15.91,0.000053033,0.34,0.18,NA,NA
ER2, N,2,2013,7,30,DRY,35,73.66,1.227666667,0,15.91,0.000053033,0.31,0.16,NA,NA
ER2, N,2,2013,7,30,DRY,45,0,0,0,14.83,0.000049433,0.26,0.13,NA,NA
ER2, N,2,2013,7,30,DRY,45.5,0,0,0,7.54,0.000025133,0.22,0.05,NA,NA
